,Nama,Posisi,Kualifikasi,kode_kual,Path_Gambar,Keterangan,Tanggal,Alamat,artikel,header
0,PT Dankos Farma (a Kalbe Company),"['1. Production Supervisor', '2. Logistic Supervisor', '3. Technical Service Supervisor', '4. Analytical Development (R&D) Scientist']","[[['', 'Bachelor Degree of Pharmacy (Apothecary)', 'Min. 1 year experience in pharmacy industry as Production Supervisor', 'Willing to work in Kawasan Industri Pulogadung', 'Willing to work in shifts', 'Good leadership and teamwork', '']], [['', 'Bachelor Degree of Pharmacy (Apothecary)', 'Fresh graduate/ min. 1 year experience in Pharmacy Industry', 'Having knowledge new regulations of pharmacy industry', 'Willing to work in shifts', 'Good leadership and teamwork', '']], [['', 'Min. Bachelor Ddegree majoring Pharmacy (Apoteker)', 'Fresh graduated/ min. 1 year experienced', 'Have knowledge about production process and analytical in pharmaceutical industry', 'Good analytical thinking and problem solving skill', 'Interested in manufacturing company', '']], [['', 'Bachelor Degree of Pharmacy (Apothecary)', 'Fresh graduated/ min. 1 year experienced', 'Interested in manufacturing company', 'Have knowledge about analytical method & instruments', 'Discipline, open minded & good team work', '']]]","[['Qualification'], ['Qualification'], ['Qualification'], ['Qualification']]",E:/Belajar/www.disnakerja.com/images/PT Dankos Farma (a Kalbe Company).jpg,"['Bagi Anda yang berminat, silahkan melakukan pendaftaran secara online:', ' Apply ', 'https://docs.google.com/forms/d/e/1FAIpQLScfByxoURplX9cQ9Qdo8AIB6SZcI5yxVVveakmxZ9N0-pIeTg/viewform', '*Pada bagian Sumber Informasi Lowongan, pilih Other dan masukkan disnakerja.com']","January 20, 2021",https://www.disnakerja.com/job/lowongan-kerja-pt-dankos-farma-a-kalbe-company/,_,"<p style=""text-align: justify;"">PT Dankos Farma adalah perusahaan Farmasi yang berada di bawah naungan Kalbe Group. Perusahaan yang berlokasi di Jakarta Timur ini bergabung dengan PT Kalbe Farma Tbk sejak 13 tahun silam yaitu tahun 2006. PT Dankos Farma mulai berdiri di Jakarta pada tahun 1978 dan mencatatkan sahamnya di Bursa Efek Jakarta dan Surabaya 11 tahun kemudian yaitu tahun 1989. Perusahaan ini menjadi perusahaan Farmasi Indonesia pertama yang memiliki tiga pabrik terpisah yaitu Non Betalactam, Penicillin, dan Cephalosporin. Tidak hanya itu, Dankos juga menjadi perusahaan Farmasi pertama yang memperoleh sertifikasi ISO 9001 (Sistem Manajemen Mutu).</p>; <p style=""text-align: justify;"">Saat ini PT Dankos Farma (a Kalbe Company) kembali membuka lowongan kerja terbaru pada bulan Januari 2021 . Adapun dibawah ini adalah posisi jabatan yang saat ini tersedia bagi Anda para pencari kerja yang tertarik untuk mengembangkan karir Anda bersama PT Dankos Farma (a Kalbe Company) Persada dengan kualifikasi sebagai berikut.</p>"
1,PT Cirebon Energi Prasarana (Cirebon Power),[],[],[],E:/Belajar/www.disnakerja.com/images/PT Cirebon Energi Prasarana (Cirebon Power).jpg,"['Send your Latest CV in English (max 1MB) with subject of related position eg. C2 Coal Operation Shift Leader not later than 25 January 2021 to:', 'recruitment@cirebonpower.co.id, Only application sent to mentioned email and shortlisted candidates will be processed. Start working date is 5 April 2021 or soon thereafter.']","January 20, 2021",https://www.disnakerja.com/job/lowongan-kerja-pt-cirebon-electric-power-cirebon-power/,_,"<p style=""text-align: justify;"">Didirikan pada 2007, CEP adalah konsorsium multi-nasional yang diperkuat nama-nama besar dalam industri energi dan infrastruktur Asia: Marubeni Corporation, Indika Energy, Korean Midland Power (KOMIPO), dan Samtan Corporation.  Konsorsium inilah yang berada dibalik Pembangkit Listrik Unit 1 1×660 MW di Kanci, Kabupaten Cirebon, Jawa Barat. Sejak beroperasi pada Juli 2012, atau 8 bulan lebih awal dari rencana semula, unit pertama kami ini telah menghasilkan 5TWh listrik pertahun melalui sistem interkoneksi Jawa-Madura-Bali (Jamali).</p>; <p style=""text-align: justify;"">Saat ini PT Cirebon Electric Power (Cirebon Power) kembali membuka lowongan kerja terbaru pada bulan Januari 2021. Adapun dibawah ini adalah posisi jabatan yang saat ini tersedia bagi Anda para pencari kerja yang tertarik untuk mengembangkan karir Anda bersama PT Cirebon Electric Power (Cirebon Power) dengan kualifikasi sebagai berikut.</p>"
2,PT Pos Properti Indonesia,"['1. Staff Keuangan RO Jakarta', '2. Staff Teknik Building Management', '3. Staff IT Head Office', '4. Staff Auditor Head Office']","[[['', 'Usia maksimal 25 tahun', 'Pendidikan minimal D3 Manajemen Keuangan /Akuntansi', 'Memiliki pengalaman kerja minimal 2 tahun', 'Mampu membuat laporan keuangan, Akuntansi dan Pajak', 'Diuatamakan paham proses rekonsiliasi', 'Bisa menggunakan Ms Office (Excel, Word, Power Point) dan aplikasi Akuntansi Lainnya', 'Jujur disiplin dan bisa bekerja dalam tim', '']], [['', 'Usia maksimal 25 tahun', 'Pendidikan minimal SMK/STM jurusan Sipil, Elektro atau Mesin', 'Memiliki pengalaman kerja 2-3 tahun sebagai Teknisi/Staff Engineering', 'Menguasai perawatan dan perbaikan (Kelistrikan-Arus Lemah, Sipil-Dasar Teknik Bangunan)', '']], [['', 'Usia maksimal 25 tahun', 'Pendidikan minimal D3 Ilmu Komputer', 'Memiliki pengalaman kerja dibidang IT minimal 2 tahun, khususnya menangani program', 'Menguasai bahsa pemrograman PHP, Data Base SQL, Frame Work Code Igneter', 'Memiliki pengalaman membuat dan mendesign web dan aplikasi', 'Mengusai jaringan lokal dan internet (LAN/WAN)', 'Mengerti troubleshooting hardware, software', 'Memiliki kemampuan analisa dan pemecahan masalah', '']], [['', 'Usia maksimal 27 tahun', 'Pendidikan minimal S1 Akuntansi/Management Keuangan', 'Memiliki pengalaman kerja minimal 2 tahun sebagai Internal Audit', 'Memiliki pengalaman kerja di KAP lebih disukai', '']]]","[['Kualifikasi'], ['Kualifikasi'], ['Kualifikasi'], ['Kualifikasi']]",E:/Belajar/www.disnakerja.com/images/PT Pos Properti Indonesia.jpg,"['Silahkan kirim CV terbaru dan surat lamaran kerja melalui :', 'Email: sdm@posproperti.co.id/ hrd.posproperti@gmail.com/ sdmposproperti@gmail.com, Subjek: Posisi yang dilamar', 'Deadline 30 Januari 2021']","January 20, 2021",https://www.disnakerja.com/job/lowongan-kerja-pt-pos-properti-indonesia/,_,"<p style=""text-align: justify;"">PT. Pos Properti Indonesia didirikan dengan Akte Notaris No. 35 oleh Notaris Deasi Witanti Kusumaningtyas, SH, Sp N. pada tanggal 31 Desember 2013, adalah sebuah entitas bisnis yang memiliki core business Properti dengan berbagai Bidang Usaha Jasa. Sebagai anak Perusahaan PT Pos Indonesia (Persero), diharapkan mampu menjadi salah satu penggerak mesin pendapatan dan memiliki nilai tambah.</p>; <p style=""text-align: justify;"">Dalam upaya memanfaatkan setiap business opportunity PT Pos Properti Indonesia berkomitment untuk berperan serta dalam menumbuhkan pariwisata di kota-kota di Indonesia yang memiliki potensi besar khususnya di sektor industri perhotelan. Kunjungan wisatawan manca negara maupun domestik yang semakin meningkat harus diiringi dengan ketersediaan layanan hotel dengan tarif yang terjangkau oleh masyarakat kelas menengah namun tetap mampu memberikan kualitas pelayanan yang optimal. Selain kebutuhan akan layanan hotel sebagai fasilitas menginap, kebutuhan ruang pertemuan (meeting room) juga sangat tinggi seiring dengan pesatnya pertumbuhan bisnis khususnya di kota-kota besar di seluruh Indonesia.</p>"
3,PT Adaro Metcoal Companies (Adaro Group),['CPP Maintenance Training Officer'],"[[['', 'Remote working area', 'Ability to learn, absorb and understand of new process technology and develop the training manual and transfer to others.', 'Commitment to working as an effective member of a team and Providing a high level of customer service, confidentially and privacy is mandatory.', 'Ability for self-research of knowledge, best practice, skill and ability for development and achievement the CPP target purposes.', ''], ['', 'Min. Diploma 3 in Mechanical/Electrical/Instrumentation Eng', 'Min. 5 years experience in handling fixed plant (Mechanical/Electrical/instrumentation)', 'Min. 5 years experience in Coal Processing Plant with excellent familiarity with coal washing Plant', 'Have a good communication and interpersonal skills', 'Certification in Pengawas Operasional (POP)', 'Certified in development, training, and assessment will be advantageous', '']]]","[['Work Challenges:', 'Qualification:']]",E:/Belajar/www.disnakerja.com/images/PT Adaro Metcoal Companies (Adaro Group).jpg,"['Please Email your CV to :', 'recruitment.amc@adaro.com, Ccubject: CPP Maintenance Training Officer']","January 20, 2021",https://www.disnakerja.com/job/lowongan-kerja-pt-adaro-metcoal-companies-adaro-group/,_,"<p style=""text-align: justify;"">Adaro MetCoal Companies (AMC) terdiri dari Perjanjian Karya Pengusahaan Pertambangan Batu Bara (PKP2B) untuk tujuh konsesi di provinsi Kalimantan Tengah dan Kalimantan Timur. Tujuh PKP2B ini adalah bagian dari Cekungan Maruwai, yang mengandung deposit batu bara metalurgi green-field terbesar di dunia. Saat ini, sumber daya batu bara metalurgi di dalam PKP2B ini berjumlah 868 juta ton dengan cadangan 85 juta ton.</p>; <p style=""text-align: justify;"">Pada tahun 2019, AMC memproduksi 1,09 juta ton batu bara, atau 7% lebih tinggi dari tahun 2018, yang terdiri dari 0,93 juta ton batu bara kokas semi-lunak Haju dari tambang Lahai dan 0,16 juta ton batu bara kokas keras Lampunut dari tambang Lampunut di konsesi Maruwai, yang merupakan konsesi operasional kedua AMC. Pemindahan lapisan penutup oleh AMC turun 4% dari tahun 2018 atau mencapai 8,36 Mbcm dengan nisbah kupas 7,67x. AMC menjual 0,98 juta ton batu bara kepada para pelanggan di Jepang, Indonesia, India, Cina dan Eropa, atau naik 15% dari tahun 2018.</p>"
4,PT Sawit Sumbermas Sarana Tbk,"['1. MT Esteate', '2. MT Admin']","[[['', 'Pria, luluan D3/S1', '', 'Pertanian', 'Perkebunan', 'Kehutanan', 'Biologi Tanaman', 'Hama Penyakit Tanaman', 'Ilmu Tanah', '', '', ''], ['', 'Pertanian', 'Perkebunan', 'Kehutanan', 'Biologi Tanaman', 'Hama Penyakit Tanaman', 'Ilmu Tanah', '']], [['', 'Luluasn D3/S1', '', 'Akuntansi', 'Pajak', '', '', ''], ['', 'Akuntansi', 'Pajak', ''], ['', 'IPK minimal 2,75', 'Usia maksimal 27 tahun dan belum menikah', 'Tinggi badan minimal 165cm (Pria)', 'Fresh Graduate atau memiliki pengalaman kerja', 'Tidak memiliki penyakit bawaan lahir (Jantung, Ginjal, Lever dll)', 'Bersedia mengikuti ikatan dinas selama 5 tahun, tidak menikah selama menjalani masa pelatihan', 'Mendapatkan izin tertulis dari orang tua', 'Bersedia ditempatkan dimana saja (remote area atau kantor pusat) sesuai kebutuhan perusahaan', '']]]","[[''], ['Persyaratan Umum', '']]",E:/Belajar/www.disnakerja.com/images/PT Sawit Sumbermas Sarana Tbk.jpg,"['Tata Cara Pendaftaran', 'Download & Isi form lamaran pada link berikut:', 'https://drive.google.com/file/d/1lLkr-dUpyQitTjagHa24W_MBB7HaipAh/view', 'Segera kirim surat lamaran dan lampirannya (Daftar Riwayat Hidup, Scan Ijazah, Transkip Nilai, KTP/SIM, Scan Foto berwarna terbaru ukuran 4×6) dan dikirim ke:', 'hendro.saputra@citraborneo.co.id, Pengiriman & Pengisian formulir pendaftaran paling lambat: 28 Januari 2021']","January 20, 2021",https://www.disnakerja.com/job/lowongan-kerja-pt-sawit-sumbermas-sarana-tbk/,_,"<p style=""text-align: justify;"">PT Sawit Sumbermas Sarana Tbk. (SSMS) adalah perusahaan minyak kelapa sawit yang memiliki misi untuk mewujudkan potensi penuh dari minyak kelapa sawit. Kami mengelola bisnis terpadu atas 19 perkebunan kelapa sawit, tujuh pabrik kelapa sawit (PKS) dan satu pabrik inti sawit di Pangkalan Bun, Kalimantan tengah, Indonesia.</p>; <p style=""text-align: justify;"">Kami percaya dengan potensi minyak kelapa sawit yang luar biasa dan optimis dengan peran sumber pangan ini di masa depan. Dengan produktivitas yang tinggi dan penggunaan lahan yang jauh lebih efisien dibandingkan dengan tanaman lain, kelapa sawit bisa menjadi solusi krusial dan ramah lingkungan untuk memenuhi lonjakan kebutuhan minyak nabati di masa depan. Pada saat yang sama, industry kelapa sawit juga memiliki potensi untuk berkontribusi secara signifikan untuk mendorong pembangunan di negara seperti Indonesia, terutama di daerah terpencil.</p>; <p style=""text-align: justify;"">Oleh karena itu, kami percaya perusahaan kelapa sawit dapat memainkan peranan kunci dalam melestarikan lingkungan dan memenuhi kebutuhan pangan jika bisnisnya dilaksanakan dengan baik dan benar. Peranan inilah yang ingin kami capai.</p>"
5,PT Adhi Persada Properti,['Marketing Staff'],"[[['', 'Creative, Diploma/Bachelor Degree', 'Max. 30 y.o', 'Social Media Expert', 'Good in teamwork', 'Experience min. 1years (Fresh Graduate are wellcome to apply)', '']]]",[['Requirements']],E:/Belajar/www.disnakerja.com/images/PT Adhi Persada Properti.jpg,"['Send your CV, Photo, Application Letter yo:', 'dumalangsar@gmail.com', 'Apply before: 22nd January 2021']","January 20, 2021",https://www.disnakerja.com/job/lowongan-kerja-pt-adhi-persada-gedung/,_,"<p style=""text-align: justify;"">PT Adhi Persada Properti adalah perusahaan pengembang yang telah lama bergerak pada sektor hunian,gedung komersial dan pengelolaan properti serta telah menghasilkan sejumlah gedung perkantoran, komersial, hunian yang berkualitas prima. Sebagai salah satu anak perusahaan PT Adhi Karya (Persero), Tbk. yang merupakan perusahaan BUMN Jasa Konstruksi terbesar di Indonesia, PT Adhi Persada Properti memiliki reputasi dan kredibilitas yang dapat diandalkan dalam penyediaan produk – produk properti yang berkualitas baik.</p>; <p style=""text-align: justify;"">Dengan didukung oleh tenaga terampil dan profesional, PT Adhi Persada Properti dan perusahaan induk memiliki jaringan relasi yang luas, juga adanya dukungan pendanaan yang kuat, kami dapat terus mengembangkan sayap usaha untuk menghasilkan produk – produk yang inovatif dan bermutu seiring dengan terus bertumbuhnya sektor bisnis property di Indonesia.</p>; <p style=""text-align: justify;"">Saat ini PT Adhi Persada Properti kembali membuka lowongan kerja terbaru pada bulan Januari 20201. Adapun dibawah ini adalah posisi jabatan yang saat ini tersedia bagi Anda para pencari kerja yang tertarik untuk mengembangkan karir Anda bersama PT Adhi Persada Properti dengan kualifikasi sebagai berikut.</p>"
6,PT Samudera Indonesia Ship Management,"['1. Pantry Cook Asst', '2. Pastry Cook', '3. Commis 2', '4. Galley Steward', '5. Pastry Cook – Trainee']","[[['', 'Passport (min. 1 year validity)', 'Good English communication skills', 'Min. 1 years experience at 4/5 stars hotel', '']], [['', 'Passport (min. 1 year validity)', 'Good English communication skills', 'Min. 2-3 years experience at 4/5 stars hotel', '']], [['', 'Passport (min. 1 year validity)', 'Good English communication skills', 'Min. 1 years experience at 4/5 stars hotel', '']], [['', 'Passport (min. 1 year validity)', 'Good English communication skills', 'Min. one year experience', '']], [['', 'Passport (min. 1 year validity)', 'Good English communication skills', 'Min. 1 years experience at 4/5 stars hotel', '']]]","[['Requirement'], ['Requirement'], ['Requirement'], ['Requirement'], ['Requirement']]",E:/Belajar/www.disnakerja.com/images/PT Samudera Indonesia Ship Management.jpg,"['If you think you are the right candidates, please apply through our official site', 'Apply ', 'http://sism.co.id/cruise/reg']","January 20, 2021",https://www.disnakerja.com/job/lowongan-kerja-pt-samudera-indonesia-ship-management/,_,"<p style=""text-align: justify;"">PT Samudera Indonesia Ship Management (SISM) didirikan tahun 1991 untuk mendukung aktivitas pelayaran dengan menyediakan keunggulan kompetitif yang profesional, efisien, dan bernilai nilai tambah bagi pelanggan. SISM merupakan penggabungan dari divisi pengelolaan yang ada di berbagai unit bisnis di Samudera Indonesia. SISM juga didukung oleh sumber daya yang kompeten dan tim ahli untuk mengoperasikan kapal secara aman untuk memenuhi persyaratan nasional dan internasional berdasarkan kebutuhan pasar dan juga praktek terbaik dan pengelolaan kapal.</p>; <p style=""text-align: justify;"">Sistem pengelolaan keselamatan yang dilaksanakan di SISM telah mengacu pada peraturan International Safety Management Code for Safe Operation of Ships and for Pollution Prevention (ISM Code), ISO 9000 Standard, The Standard of Training, Certification and Watch Keeping for Seafarer (STCW), SEEMP, MLC and ISO 14000. Sistem ini telah dikembangkan secara mandiri dari konsep sampai implementasi termasuk penerapan baik di kapal maupun kantor. SISM mengembangkan Integrated Ship Management System (ISMS) sebagai backbone sistem informasi dan teknologi untuk mendukung aktivitas dan operasional bisnis sehari-hari.</p>; <p style=""text-align: justify;"">Saat ini PT Samudera Indonesia Ship Management kembali membuka lowongan kerja terbaru pada bulan Januari 2021. Adapun dibawah ini adalah posisi jabatan yang saat ini tersedia bagi Anda para pencari kerja yang tertarik untuk mengembangkan karir Anda bersama PT Samudera Indonesia Ship Management dengan kualifikasi sebagai berikut.</p>"
7,PT Dian Swastatika Sentosa Tbk,"['1. Finance & Accounting Assistant', '2. Finance & Accounting Manager (Mining)', '3. Risk Manager']","[[['', 'Min. Bachelor Degree in accounting from reputable University with GPA min. 3.20', 'Fresh graduates are welcome to apply', '']], [['', 'Min. Bachelor Degree in accounting from reputable University with GPA min. 3.20', 'Min. 5 years of working experience in coal mining', 'Willing to travel to remote area', '']], [['', 'Minimum bachelor degree from reputable university with minimum GPA>3,20', 'Proven experience as a Risk Manager', 'Advance in risk assessment and control', 'Analytical mind with problem-solving aptitude', 'Good in english both oral and written', '']]]","[['Requirement'], ['Requirement'], ['Job Requirement']]",E:/Belajar/www.disnakerja.com/images/PT Dian Swastatika Sentosa Tbk.jpg,"['Bagi Anda yang berminat, silahkan melakukan pendaftaran secara online:', ' Apply ', 'http://erecruitment.dssa.co.id/en/jobads?category_id=3']","January 20, 2021",https://www.disnakerja.com/job/lowongan-kerja-pt-dian-swastatika-sentosa-tbk-2/,_,"<p style=""text-align: justify;"">PT Dian Swastatika Sentosa Tbk (Perseroan) merupakan suatu perseroan terbatas yang didirikan berdasarkan Hukum Negara Republik Indonesia dan berdasarkan Akta Pendirian Perseroan Terbatas No. 6 tanggal 2 Agustus 1996. Perseroan berkedudukan di Jakarta Pusat, dengan kantor pusat di Sinar Mas Land Plaza, Menara 2, Lantai 27, Jl. M.H. Thamrin No. 51, Jakarta Pusat 10350, Indonesia. Sesuai Anggaran Dasar, saat ini Perseroan dan anak-anak perusahaan menjalankan kegiatan usaha utama di bidang penyediaan tenaga listrik, pertambangan dan perdagangan batubara, perdagangan besar serta multimedia dan infrastruktur di Indonesia. Melalui empat lini usahanya, Perseroan dan anak perusahaan menghasilkan produk dan jasa berupa tenaga listrik, batubara, pestisida, bahan kimia, layanan TV berbayar dan internet serta penyedia infratsruktur BTS.</p>; <p style=""text-align: justify;"">Saat ini PT Dian Swastatika Sentosa Tbk kembali membuka lowongan kerja terbaru pada bulan Januari 2021. Adapun dibawah ini adalah posisi jabatan yang saat ini tersedia bagi Anda para pencari kerja yang tertarik untuk mengembangkan karir Anda bersama PT Dian Swastatika Sentosa Tbk dengan kualifikasi sebagai berikut.</p>"
8,PT Astra International Tbk – Toyota Sales Operation,"['1. MT Marketing – Outlet', '2. MT Marketing – Trust']","[[['', 'At least Bachelor Degree in Industrial Engineering', 'At least min. 1 year experience in Business Process or Business Layout', 'Fresh Graduate are wellcome', 'Have a good understanding in Channel Management', 'Good in Data Analytical Processing (with tools)', 'Good in Interpersonal Skill & Communication Skill', 'Good in Presentation Skill', '']], [['', 'At least Bachelor Degree in Communication, Marketing Communication, Management & Business', 'At least min. 1 year experience in Digital Marketing & Graphic Design', 'Fresh Graduates are wellcome', 'Have a good understanding in Digital Marketing & Graphic Design', 'Able to operate Social Media & Digital Tools', 'Good in Communication Skill', '']]]","[['Qualification'], ['Qualification']]",E:/Belajar/www.disnakerja.com/images/PT Astra International Tbk – Toyota Sales Operation.jpg,"['If you are interested into applying this position, please submit yourself at our online recruitment system Toyota AUTO2000 at link below:', 'Apply\xa0', 'https://docs.google.com/forms/d/e/1FAIpQLSfRxJnEfTa75MNuKUROI3m5LthWCKdUx2jSrnkwGR1KIb7O2Q/viewform?usp=pp_url', 'Valid to January 28th, 2021']","January 20, 2021",https://www.disnakerja.com/job/lowongan-kerja-pt-astra-international-tbk-toyota-sales-operation/,_,"<p style=""text-align: justify;"">AUTO2000 adalah salah satu perusahaan jaringan jasa penjualan, perawatan, perbaikan dan penyediaan suku cadang Toyota. Perusahaan ini memiliki manajemen pemasaran yang ditangani penuh oleh PT Astra International Tbk. Perusahaan ini berdiri pada tahun 1975 dengan nama Astra Motor Sales, dan baru pada tahun 1989 berubah nama menjadi AUTO2000, saat ini perusahaan ini adalah main dealer Mobil Toyota terbesar di Indonesia, menguasai antara 70-80% total penjualan Toyota. Perusahaan ini berhubungan dengan PT Toyota Astra Motor menjadi Agen Tunggal Pemegang Merek (ATPM) Toyota bersama dengan 4 dealer resmi Toyota yang lain. AUTO2000 memiliki cabang yang tersebar di seluruh Indonesia (kecuali Sulawesi, Maluku, Irian Jaya, Jambi, Riau, Bengkulu, Jawa Tengah dan D.I.Y). AUTO2000 berkembang pesat karena memberikan layanan yang sangat memudahkan bagi calon pembeli maupun pengguna mobil Toyota.</p>; <p style=""text-align: justify;"">Saat ini PT Astra International Tbk – Toyota Sales Operation kembali membuka lowongan kerja terbaru pada bulan Januari 2021. Adapun dibawah ini adalah posisi jabatan yang saat ini tersedia bagi Anda para pencari kerja yang tertarik untuk mengembangkan karir Anda bersama PT Astra International Tbk – Toyota Sales Operation dengan kualifikasi sebagai berikut.</p>; <p style=""text-align: center;""><strong>Lowongan Kerja PT Astra International Tbk – Toyota Sales Operation</strong></p>"
9,PT Samick Indonesia,['Management & Production Trainee Program'],"[[['', 'Graduate from reputable University in Indonesia (min. S1) from all major', 'Major from Korean Language will be proritized', 'Minimum GPA is 3,00 out of 4,00', 'Fresh Graduate or max. 2 years of work experience', 'Higly interested in working at manufacturing business', 'Proficient in Korean Language both written and English Language will be prioritized', 'Highly capable and full of willingness to learn and manage', 'Willing to commute to work at our factory and office in Cileungsi, Bogor', '']]]",[['Qualification']],E:/Belajar/www.disnakerja.com/images/PT Samick Indonesia.jpg,"['HOW TO APPLY, Send your most updated CV & Resume together with relevant document and credentials to:', 'umum@samick.co.id, Due date in February 28th, 2021', 'Please note that only shortlisted candidates will be contacted']","January 20, 2021",https://www.disnakerja.com/job/lowongan-kerja-pt-samick-indonesia/,_,"<p style=""text-align: justify;"">Sejak didirikan pada tahun 1992, Samick Indonesia telah berkembang menjadi salah satu eksporter piano dan gitar terbesar di dunia dengan jumlah produksi mencapai lebih dari 3.000 unit piano dan 35.000 unit gitar setiap bulan.</p>; <p style=""text-align: justify;"">Samick Indonesia mengekspor alat musik dengan kualitas terbaik ke berbagai negara seperti Amerika Serikat, Korea Selatan, Republik Rakyat China, Jepang, Australia, Rep. Islam Iran, Republik Federal Jerman dan negara-negara lain. Berlokasi di Cileungsi-Bogor dengan lebih dari 3.000 karyawan, Samick Indonesia bangga menjadi salah satu green company untuk wilayah sekitarnya dengan memanfaatkan hanya 30% dari area seluas 43 hektar untuk operasional produksi perusahaan. Sisanya masih merupakan lahan hijau.</p>; <p style=""text-align: justify;"">Berkat keahlian yang telah dikembangkan selama bertahun-tahun membuat Samick Indonesia menjadi salah satu produsen alat musik terbesar di dunia kini.</p>"
